,Register Page,JPEG number,Number,Letter,CertMonth,CertDay,CertYear,First name,Last name,Title,DueMonth,DueDay,DueYear,Dollars,90th,8th,DeliveryMonth,DeliveryDay,DeliveryYear,LS?,LSnote,Notes
278,11.0,121.0,269.0,N,9.0,10.0,1784.0,Benjamin,Bourne,,4.0,16,1782.0,1.0,22.0,4.0,4.0,13.0,1785.0,1.0,RO,
279,11.0,121.0,270.0,R,9.0,10.0,1784.0,Benjamin,Bourne,,4.0,16,1782.0,5.0,,,4.0,13.0,1785.0,1.0,2040,
280,11.0,121.0,271.0,P,9.0,10.0,1784.0,Benjamin,Bourne,,4.0,16,1782.0,1.0,22.0,4.0,4.0,13.0,1785.0,1.0,RO,
281,11.0,121.0,272.0,H,9.0,11.0,1784.0,Benjamin,Bourne,,4.0,16,1782.0,5.0,,,4.0,13.0,1785.0,,,
282,11.0,121.0,273.0,I,9.0,11.0,1784.0,Lydia,Brown,,11.0,8,1779.0,10.0,58.0,6.0,9.0,9.0,1788.0,,,Del to Major C Hashell September 9th 1788
283,11.0,121.0,274.0,L,9.0,11.0,1784.0,John,Cole,,2.0,28,1780.0,2.0,77.0,2.0,11.0,16.0,1784.0,1.0,LO 57.178,
284,11.0,121.0,275.0,C,9.0,11.0,1784.0,John,Cole,,4.0,16,1782.0,1.0,22.0,4.0,11.0,16.0,1784.0,1.0,LO 57.178,
285,11.0,121.0,276.0,B,9.0,11.0,1784.0,Joseph,Clarke,,2.0,23,1780.0,39.0,3.0,1.0,12.0,4.0,1781.0,1.0,1186,
286,11.0,121.0,277.0,A,9.0,11.0,1784.0,Samuel,Young,,4.0,16,1782.0,1.0,22.0,4.0,10.0,8.0,1784.0,1.0,RO,
287,11.0,121.0,278.0,G,9.0,11.0,1784.0,Abimelech,Riggs,,6.0,1,1780.0,,74.0,,11.0,10.0,1784.0,1.0,LO 10.24,
288,11.0,121.0,279.0,C,9.0,11.0,1784.0,Abimelech,Riggs,,9.0,6,1780.0,9.0,57.0,6.0,11.0,10.0,1784.0,1.0,2858,
289,11.0,121.0,280.0,R,9.0,11.0,1784.0,Abimelech,Riggs,,10.0,31,1780.0,19.0,67.0,4.0,11.0,10.0,1784.0,1.0,794,
290,11.0,121.0,281.0,P,9.0,11.0,1784.0,Abimelech,Riggs,,11.0,10,1780.0,62.0,29.0,4.0,11.0,10.0,1784.0,1.0,RO,
291,11.0,121.0,282.0,N,9.0,11.0,1784.0,Daniel,Rice,,4.0,16,1782.0,5.0,,,2.0,17.0,1785.0,1.0,1183,
292,11.0,121.0,283.0,L,9.0,11.0,1784.0,Daniel,Rice,,4.0,16,1782.0,5.0,,,2.0,17.0,1785.0,1.0,1183,
293,11.0,121.0,284.0,H,9.0,11.0,1784.0,Daniel,Rice,,4.0,16,1782.0,5.0,,,2.0,17.0,1785.0,1.0,2237,
294,11.0,121.0,285.0,I,9.0,11.0,1784.0,John,Child,,4.0,16,1782.0,1.0,22.0,4.0,11.0,27.0,1784.0,1.0,LO 41.117,
295,,,,,,,,,,,,,,14609.0,60.0,6.0,,,,,,
296,12.0,123.0,286.0,D,9.0,11.0,1784.0,John,Child,,4.0,16,1782.0,5.0,,,11.0,27.0,1784.0,,,
297,12.0,123.0,287.0,E,9.0,11.0,1784.0,Daniel,Jackson,,4.0,16,1782.0,1.0,22.0,4.0,10.0,6.0,1784.0,1.0,LO 190.527,
298,12.0,123.0,288.0,G,9.0,11.0,1784.0,Daniel,Jackson,,4.0,16,1782.0,1.0,22.0,4.0,10.0,6.0,1784.0,1.0,LO 191.533,
299,12.0,123.0,289.0,A,9.0,11.0,1784.0,Daniel,Jackson,,4.0,16,1782.0,1.0,22.0,4.0,10.0,6.0,1784.0,1.0,LO 191.533,
300,12.0,123.0,290.0,B,9.0,11.0,1784.0,Daniel,Jackson,,4.0,16,1782.0,5.0,,,10.0,6.0,1784.0,1.0,LO 128.469,
301,12.0,123.0,291.0,C,9.0,11.0,1784.0,Daniel,Jackson,,4.0,16,1782.0,1.0,22.0,4.0,10.0,6.0,1784.0,1.0,LO 128.409,
302,12.0,123.0,292.0,R,9.0,14.0,1784.0,Daniel,Jackson,,4.0,16,1782.0,1.0,22.0,4.0,10.0,6.0,1784.0,1.0,776,
303,12.0,123.0,293.0,P,9.0,14.0,1784.0,Daniel,Jackson,,4.0,16,1782.0,1.0,22.0,4.0,10.0,6.0,1784.0,1.0,734,
304,12.0,123.0,294.0,N,9.0,14.0,1784.0,Daniel,Jackson,,12.0,1,1781.0,26.0,45.0,,10.0,6.0,1784.0,1.0,RO,
305,12.0,123.0,295.0,H,9.0,14.0,1784.0,Freeman,Lincoln,,1.0,10,1782.0,556.0,57.0,,12.0,10.0,1784.0,1.0,RO 6487,
306,12.0,123.0,296.0,I,9.0,14.0,1784.0,Freeman,Lincoln,,1.0,10,1782.0,72.0,,,12.0,10.0,1784.0,1.0,RO 6487,
307,12.0,123.0,297.0,L,9.0,14.0,1784.0,Jeremiah,Ingraham,,8.0,15,1780.0,17.0,25.0,,12.0,10.0,1784.0,,,
308,12.0,123.0,298.0,D,9.0,14.0,1784.0,Philip,Pain,,4.0,16,1782.0,1.0,22.0,4.0,4.0,19.0,1785.0,1.0,LO 128.473,
309,12.0,123.0,299.0,E,9.0,14.0,1784.0,Belcher,Lee,,8.0,15,1778.0,3.0,21.0,3.0,10.0,15.0,1784.0,1.0,123,
310,12.0,123.0,300.0,G,9.0,17.0,1784.0,John,Manley,,4.0,16,1782.0,1.0,22.0,4.0,10.0,27.0,1784.0,1.0,RO,
311,12.0,123.0,301.0,A,9.0,17.0,1784.0,Jsrael,Bowen,,10.0,30,1779.0,3.0,85.0,1.0,11.0,16.0,1784.0,1.0,RO,
312,12.0,123.0,302.0,B,9.0,17.0,1784.0,Jsrael,Bowen,,2.0,10,1780.0,3.0,44.0,4.0,11.0,16.0,1784.0,1.0,782,
313,12.0,123.0,303.0,C,9.0,17.0,1784.0,Daniel,Bucklin,,4.0,16,1782.0,12.0,45.0,,2.0,16.0,1786.0,1.0,452,
314,12.0,123.0,304.0,G,9.0,17.0,1784.0,Thomas,Wheaton,,2.0,15,1783.0,34.0,45.0,,10.0,16.0,1784.0,1.0,RO,
315,12.0,123.0,305.0,E,9.0,17.0,1784.0,Abraham,Tuckerman,,1.0,1,1783.0,160.0,,,10.0,16.0,1784.0,1.0,RO,
316,12.0,123.0,306.0,D,9.0,17.0,1784.0,Philip,Rudliff,,12.0,1,1783.0,28.0,67.0,4.0,10.0,16.0,1784.0,1.0,RO,
317,12.0,123.0,307.0,C,9.0,17.0,1784.0,William,Dale,,1.0,1,1783.0,39.0,78.0,6.0,10.0,16.0,1784.0,1.0,RO,
318,12.0,123.0,308.0,B,9.0,17.0,1784.0,John,Calligan,,1.0,1,1783.0,39.0,78.0,6.0,10.0,16.0,1784.0,1.0,RO,Last name not sure
319,12.0,123.0,309.0,A,9.0,17.0,1784.0,Samuel,Batty,,1.0,1,1783.0,39.0,78.0,6.0,10.0,16.0,1784.0,1.0,RO,
320,12.0,123.0,310.0,R,9.0,17.0,1784.0,Barent Ten,Eyck,,1.0,1,1783.0,41.0,,,10.0,16.0,1784.0,1.0,RO,
321,12.0,123.0,311.0,P,9.0,18.0,1784.0,Archibald,Crary,,5.0,15,1778.0,384.0,67.0,4.0,10.0,27.0,1784.0,1.0,RO,
322,12.0,123.0,312.0,N,9.0,18.0,1784.0,Archibald,Crary,,9.0,16,1778.0,1015.0,30.0,,10.0,27.0,1784.0,1.0,407,
323,12.0,123.0,313.0,H,9.0,18.0,1784.0,Thomas,Lippitt,,12.0,31,1776.0,13.0,45.0,,10.0,11.0,1784.0,1.0,RO,
324,,,,,,,,,,,,,,17122.0,65.0,0.0,,,,,,
325,13.0,124.0,314.0,I,9.0,20.0,1784.0,Gideon,Coggeshall,,10.0,31,1780.0,1.0,60.0,,10.0,25.0,1784.0,1.0,LO 110.340,
